nome,regiao,lat,lon
201 N,ÁREA NOROESTE,-10.17613,-48.335416
301 N,ÁREA NOROESTE,-10.168014,-48.332837
401 N,ÁREA NOROESTE,-10.163009,-48.328481
503 N,ÁREA NOROESTE,-10.156889,-48.328271
501 N,ÁREA NOROESTE,-10.159472,-48.325416
601 N,ÁREA NOROESTE,-10.156051,-48.322465
603 N,ÁREA NOROESTE,-10.153179,-48.326305
Centro de Com�rcio e Servi�os,ÁREA NOROESTE,-10.182725,-48.347886
107 N,ÁREA NOROESTE,-10.178682,-48.349713
105 N,ÁREA NOROESTE,-10.180912,-48.344822
103 N,ÁREA NOROESTE,-10.178948,-48.339822
103 N,ÁREA NOROESTE,-10.182661,-48.339791
203 N,ÁREA NOROESTE,-10.175828,-48.339658
207 N,ÁREA NOROESTE,-10.17571,-48.34927
101 N,ÁREA NOROESTE,-10.178912,-48.335395
607 N,ÁREA NOROESTE,-10.152413,-48.339348
409 N,ÁREA NOROESTE,-10.155982,-48.345416
407 N,ÁREA NOROESTE,-10.160548,-48.350392
307 N,ÁREA NOROESTE,-10.166159,-48.350813
305 N,ÁREA NOROESTE,-10.16749,-48.344185
403 N,ÁREA NOROESTE,-10.163779,-48.335975
405 N,ÁREA NOROESTE,-10.161105,-48.342689
AV 403 N,ÁREA NOROESTE,-10.157953,-48.334313
605 N,ÁREA NOROESTE,-10.151194,-48.332442
303 N,ÁREA NOROESTE,-10.168034,-48.338444
P�. dos Girass�is,PC. DOS GIRASSOIS,-10.184537,-48.333656
412 N,ÁREA NORDESTE,-10.170172,-48.304063
408 N,ÁREA NORDESTE,-10.170263,-48.309752
406 N,ÁREA NORDESTE,-10.170309,-48.315308
404 N,ÁREA NORDESTE,-10.168495,-48.321819
402 N,ÁREA NORDESTE,-10.165193,-48.325914
506 N,ÁREA NORDESTE,-10.165846,-48.314709
504 N,ÁREA NORDESTE,-10.164455,-48.319524
502 N,ÁREA NORDESTE,-10.161655,-48.322849
602 N,ÁREA NORDESTE,-10.158326,-48.319965
604 N,ÁREA NORDESTE,-10.160998,-48.315758
508 N,ÁREA NORDESTE,-10.16573,-48.309813
606 N,ÁREA NORDESTE,-10.161231,-48.309916
512 N,ÁREA NORDESTE,-10.163329,-48.303682
304 N,ÁREA NORDESTE,-10.171587,-48.326571
208 N,ÁREA NORDESTE,-10.175164,-48.310309
212 N,ÁREA NORDESTE,-10.174673,-48.304061
112 N,ÁREA NORDESTE,-10.180581,-48.303976
110 N,ÁREA NORDESTE,-10.181003,-48.310435
108 N,ÁREA NORDESTE,-10.180956,-48.3167
106 N,ÁREA NORDESTE,-10.18073,-48.322096
104 N,ÁREA NORDESTE,-10.182563,-48.327553
AV 204 N,ÁREA NORDESTE,-10.175927,-48.32783
104 N,ÁREA NORDESTE,-10.17885,-48.327583
202 N,ÁREA NORDESTE,-10.176103,-48.332033
102 N,ÁREA NORDESTE,-10.178886,-48.332012
302 N,ÁREA NORDESTE,-10.169717,-48.329877
AV 206 N,ÁREA NORDESTE,-10.174172,-48.316014
207 S,ÁREA SUDOESTE,-10.194983,-48.351867
AV 107 S,ÁREA SUDOESTE,-10.185667,-48.348929
Condom�nio Residencial Fechado ARSO 21,ÁREA SUDOESTE,-10.194876,-48.338601
AE 303 S,ÁREA SUDOESTE,-10.199481,-48.343188
303 S,ÁREA SUDOESTE,-10.202846,-48.34031
403 S,ÁREA SUDOESTE,-10.207684,-48.340271
403 S,ÁREA SUDOESTE,-10.207735,-48.346655
307 S,ÁREA SUDOESTE,-10.20149,-48.352265
305 S,ÁREA SUDOESTE,-10.201203,-48.346708
AE 103 S,ÁREA SUDOESTE,-10.185407,-48.343661
103 S,ÁREA SUDOESTE,-10.18651,-48.33976
103 S,ÁREA SUDOESTE,-10.190223,-48.33973
AV 401 S,ÁREA SUDOESTE,-10.202512,-48.335355
201 S,ÁREA SUDOESTE,-10.194849,-48.335264
101 S,ÁREA SUDOESTE,-10.190187,-48.335301
407 S,ÁREA SUDOESTE,-10.207867,-48.352772
409 S,ÁREA SUDOESTE,-10.208564,-48.358058
309 S,ÁREA SUDOESTE,-10.201258,-48.357408
AE 409 S,ÁREA SUDOESTE,-10.20524,-48.357166
411 S,ÁREA SUDOESTE,-10.207734,-48.361247
205 S,ÁREA SUDOESTE,-10.195112,-48.347072
401 S,ÁREA SUDOESTE,-10.207643,-48.335159
701 S,ÁREA SUDOESTE,-10.227049,-48.334999
601 S,ÁREA SUDOESTE,-10.220761,-48.335051
501 S,ÁREA SUDOESTE,-10.214202,-48.335105
505 S,ÁREA SUDOESTE,-10.214294,-48.346601
507 S,ÁREA SUDOESTE,-10.214193,-48.352618
1303 S,ÁREA SUDOESTE,-10.264819,-48.339801
1501 S,ÁREA SUDOESTE,-10.276197,-48.334594
1401 S,ÁREA SUDOESTE,-10.270451,-48.334642
1301 S,ÁREA SUDOESTE,-10.264778,-48.334689
1201 S,ÁREA SUDOESTE,-10.258489,-48.33474
1101 S,ÁREA SUDOESTE,-10.252201,-48.334792
1001 S,ÁREA SUDOESTE,-10.245913,-48.334844
901 S,ÁREA SUDOESTE,-10.239625,-48.334896
801 S,ÁREA SUDOESTE,-10.233337,-48.334948
AV 1307 S,ÁREA SUDOESTE,-10.264113,-48.350494
AE SO 134,ÁREA SUDOESTE,-10.262113,-48.356146
AV 807 S,ÁREA SUDOESTE,-10.233442,-48.348132
703 S,ÁREA SUDOESTE,-10.227994,-48.340104
803 S,ÁREA SUDOESTE,-10.233378,-48.34006
1003 S,ÁREA SUDOESTE,-10.245955,-48.339957
1005 S,ÁREA SUDOESTE,-10.246001,-48.345749
903 S,ÁREA SUDOESTE,-10.239667,-48.340008
905 S,ÁREA SUDOESTE,-10.239987,-48.345458
1007 S,ÁREA SUDOESTE,-10.246039,-48.350401
1105 S,ÁREA SUDOESTE,-10.252289,-48.345697
1305 S,ÁREA SUDOESTE,-10.264866,-48.345594
1103 S,ÁREA SUDOESTE,-10.252243,-48.339905
1203 s,ÁREA SUDOESTE,-10.258531,-48.339853
AE 707 S,ÁREA SUDOESTE,-10.229254,-48.351311
AV 703 S,ÁREA SUDOESTE,-10.22485,-48.34013
603 S,ÁREA SUDOESTE,-10.220802,-48.340163
605 S,ÁREA SUDOESTE,-10.22118,-48.34669
607 S,ÁREA SUDOESTE,-10.220507,-48.352155
611 S,ÁREA SUDOESTE,-10.219437,-48.359158
709 S,ÁREA SUDOESTE,-10.228375,-48.355
711 S,ÁREA SUDOESTE,-10.227668,-48.359537
509 S,ÁREA SUDOESTE,-10.214376,-48.357914
AE 310 S,ÁREA SUDESTE,-10.198348,-48.311475
212 S,ÁREA SUDESTE,-10.196081,-48.30568
210 S,ÁREA SUDESTE,-10.194666,-48.311015
208 S,ÁREA SUDESTE,-10.194698,-48.316509
206 S,ÁREA SUDESTE,-10.194743,-48.32198
110 S,ÁREA SUDESTE,-10.188037,-48.310599
108 S,ÁREA SUDESTE,-10.188112,-48.316563
104 S,ÁREA SUDESTE,-10.190125,-48.327491
106 S,ÁREA SUDESTE,-10.188156,-48.322035
104 S,ÁREA SUDESTE,-10.186412,-48.327521
304 S,ÁREA SUDESTE,-10.199483,-48.327025
202 S,ÁREA SUDESTE,-10.194822,-48.33188
706 S,ÁREA SUDESTE,-10.226938,-48.321259
704 S,ÁREA SUDESTE,-10.226986,-48.327187
702 S,ÁREA SUDESTE,-10.227022,-48.331616
606 S,ÁREA SUDESTE,-10.220661,-48.321321
602 S,ÁREA SUDESTE,-10.220734,-48.331667
604 S,ÁREA SUDESTE,-10.220698,-48.327239
102 S,ÁREA SUDESTE,-10.190161,-48.331918
404 S,ÁREA SUDESTE,-10.208284,-48.327934
504 S,ÁREA SUDESTE,-10.214139,-48.327293
502 S,ÁREA SUDESTE,-10.214175,-48.331721
402 S,ÁREA SUDESTE,-10.207615,-48.331775
306 S,ÁREA SUDESTE,-10.199207,-48.321707
706 S,ÁREA SUDESTE,-10.233226,-48.321207
906 S,ÁREA SUDESTE,-10.239514,-48.321155
1006 S,ÁREA SUDESTE,-10.245802,-48.321103
1106 S,ÁREA SUDESTE,-10.25209,-48.321051
1206 S,ÁREA SUDESTE,-10.258378,-48.320998
1306 S,ÁREA SUDESTE,-10.264541,-48.321225
1506S,ÁREA SUDESTE,-10.276452,-48.320715
1504S,ÁREA SUDESTE,-10.276133,-48.326781
1404S,ÁREA SUDESTE,-10.270387,-48.326829
1304 S,ÁREA SUDESTE,-10.264714,-48.326876
1204 S,ÁREA SUDESTE,-10.258426,-48.326928
1104 S,ÁREA SUDESTE,-10.252138,-48.32698
1004 S,ÁREA SUDESTE,-10.24585,-48.327032
904 S,ÁREA SUDESTE,-10.239562,-48.327084
804 S,ÁREA SUDESTE,-10.233274,-48.327135
802 S,ÁREA SUDESTE,-10.23331,-48.331564
902 S,ÁREA SUDESTE,-10.239598,-48.331512
1002 S,ÁREA SUDESTE,-10.245886,-48.33146
1102 S,ÁREA SUDESTE,-10.252174,-48.331408
1202 S,ÁREA SUDESTE,-10.258462,-48.331356
1302 S,ÁREA SUDESTE,-10.26475,-48.331304
1402 S,ÁREA SUDESTE,-10.270424,-48.331257
1502 S,ÁREA SUDESTE,-10.27617,-48.33121
AE 308 S,ÁREA SUDESTE,-10.199836,-48.311657
AV 412 S,ÁREA SUDESTE,-10.213283,-48.313053
412 S,ÁREA SUDESTE,-10.208691,-48.310599
512 S,ÁREA SUDESTE,-10.216933,-48.314333
712 S,ÁREA SUDESTE,-10.226859,-48.314832
912 S,ÁREA SUDESTE,-10.239438,-48.315009
1012 S,ÁREA SUDESTE,-10.245724,-48.315111
308 S,ÁREA SUDESTE,-10.20013,-48.316788
112 S,ÁREA SUDESTE,-10.188417,-48.303978
312 S,ÁREA SUDESTE,-10.202776,-48.307732
612 S,ÁREA SUDESTE,-10.221152,-48.314938
812 S,ÁREA SUDESTE,-10.233153,-48.314927
1112 S,ÁREA SUDESTE,-10.252106,-48.315082
205 N,ÁREA NOROESTE,-10.176268,-48.344855
204 S,ÁREA SUDESTE,-10.194787,-48.327452
Taquaralto 1�et.fl.03,REGIÃO SUL,-10.344056,-48.301637
Taquaralto 5�et.fl.01,REGIÃO SUL,-10.338292,-48.304326
Jardim Janaina,REGIÃO SUL,-10.333978,-48.314881
Jardim Aureny I,REGIÃO SUL,-10.315477,-48.302235
Jardim Aureny IV,REGIÃO SUL,-10.302941,-48.303022
Jardim Aureny III,REGIÃO SUL,-10.315372,-48.317934
Sol Nascente,REGIÃO SUL,-10.354955,-48.297316
Jardim Bela Vista,REGIÃO SUL,-10.357153,-48.307115
Jardim Paulista,REGIÃO SUL,-10.364164,-48.307362
Distrito Industrial,REGIÃO SUL,-10.369022,-48.313191
Santa F� 1� etapa,REGIÃO SUL,-10.329227,-48.295474
Santa F� 2�etapa,REGIÃO SUL,-10.330311,-48.287769
Santa F� 4�etapa,REGIÃO SUL,-10.331064,-48.280071
Vale do Sol,REGIÃO SUL,-10.335111,-48.288363
Taquaralto 2�et.fl01,REGIÃO SUL,-10.33821,-48.290519
T 42,REGIÃO SUL,-10.349834,-48.341371
T 21,REGIÃO SUL,-10.342971,-48.331905
T 31,REGIÃO SUL,-10.349584,-48.335263
T 30,REGIÃO SUL,-10.348675,-48.328592
AV 201 N,ÁREA NOROESTE,-10.173985,-48.335545
AV 207 N,ÁREA NOROESTE,-10.173482,-48.348855
AE 206 N,ÁREA NORDESTE,-10.176841,-48.315764
AE 105 S,ÁREA SUDOESTE,-10.185419,-48.345928
AV 206 N,ÁREA NORDESTE,-10.176245,-48.322216
AV 401 S,ÁREA SUDESTE,-10.203175,-48.331941
AV 713 S,ÁREA SUDOESTE,-10.22367,-48.360646
AV 907 S,ÁREA SUDOESTE,-10.239475,-48.348566
Lago Sul,REGIÃO SUL,-10.32411,-48.321354
Residencial Avalon,Isolados Norte,-10.132597,-48.341166
Sonho Meu,Isolados Norte,-10.119671,-48.326836
Lagoa da Ema,Isolados Norte,-10.14558,-48.320638
Sonho Novo,Isolados Norte,-10.089841,-48.336224
Mirante do Lago,ÁREA SUDOESTE,-10.27927,-48.345497
Santa F� 2�etapa,REGIÃO SUL,-10.333101,-48.284444
Buritirana,BURITIRANA,-10.250107,-47.885496
AV 303 N,ÁREA NOROESTE,-10.171672,-48.339529
AV 301 N,ÁREA NOROESTE,-10.172009,-48.335387
AV 107 N,ÁREA NOROESTE,-10.181496,-48.350756
AV 307 N,ÁREA NOROESTE,-10.171353,-48.348898
AV 305 N,ÁREA NOROESTE,-10.172183,-48.344785
AV 302 N,ÁREA NORDESTE,-10.173099,-48.332015
AV 306 N,ÁREA NORDESTE,-10.173528,-48.322082
Jardim Aureny II,REGIÃO SUL,-10.327119,-48.301666
Morada do Sol st. 02,REGIÃO SUL,-10.337095,-48.282764
Irm� Dulce,REGIÃO SUL,-10.297613,-48.310815
Uni�o Sul,REGIÃO SUL,-10.300505,-48.320978
AV 1312 S,ÁREA SUDESTE,-10.274398,-48.309178
AV 201 S,ÁREA SUDOESTE,-10.199271,-48.335023
AV 205 N,ÁREA NOROESTE,-10.174471,-48.344948
AV 203 S,ÁREA SUDOESTE,-10.198633,-48.338804
AV 304 N,ÁREA NORDESTE,-10.174266,-48.327554
AV 506 S,ÁREA SUDESTE,-10.210539,-48.320946
AV 404 S,ÁREA SUDESTE,-10.205695,-48.326906
AV 103 S,ÁREA SUDOESTE,-10.194496,-48.341129
AV 109 N,ÁREA NOROESTE,-10.18251,-48.351991
AV 705 S,ÁREA SUDOESTE,-10.227973,-48.345489
AV 705 S,ÁREA SUDOESTE,-10.227527,-48.351047
Santo Amaro,ÁREA NORDESTE,-10.15569,-48.315249
Palmas Sul,REGIÃO SUL,-10.358016,-48.290073
Taquaru�u,TAQUARUCU,-10.317464,-48.156033
Flamboyant,REGIÃO SUL,-10.337224,-48.335844
1503S,ÁREA SUDOESTE,-10.273105,-48.341236
T 23,REGIÃO SUL,-10.343182,-48.347703
Taquaru�uzinho,TAQUARUCU,-10.314658,-48.149305
Jd. Vit�ria II,REGIÃO SUL,-10.362343,-48.318841
Jd. Vit�ria I,REGIÃO SUL,-10.358916,-48.319024
AV 105 S,ÁREA SUDOESTE,-10.189263,-48.344891
AV 303 S,ÁREA SUDOESTE,-10.199963,-48.340365
AV 203 N,ÁREA NOROESTE,-10.173585,-48.339903
AV 202 N,ÁREA NORDESTE,-10.174432,-48.332283
Jardim Laila,REGIÃO SUL,-10.334015,-48.272917
Orla 14 - Graciosa,ÁREA SUDOESTE,-10.184772,-48.365109
AV 1412 S,ÁREA SUDESTE,-10.282485,-48.3155
Alphaville 1,ÁREA SUDOESTE,-10.188765,-48.357198
Alphaville 2,ÁREA SUDOESTE,-10.195019,-48.356745
Morada do Sol st. 03,REGIÃO SUL,-10.335469,-48.279494
Morada do Sol st. 01,REGIÃO SUL,-10.342689,-48.28159
Morada do Sol,REGIÃO SUL,-10.345052,-48.285393
Taquaralto 4�et.fl.01,REGIÃO SUL,-10.348542,-48.295636
Taquaralto 1�et.fl.01,REGIÃO SUL,-10.336707,-48.294259
Taquaralto 1�et.fl02,REGIÃO SUL,-10.340906,-48.29637
Maria Rosa,REGIÃO SUL,-10.341218,-48.285173
T 12,REGIÃO SUL,-10.342638,-48.34148
T 33,REGIÃO SUL,-10.349675,-48.347655
AV 205 S,ÁREA SUDOESTE,-10.194823,-48.343165
AV 103 S,ÁREA SUDOESTE,-10.188432,-48.343504
AV 607 S,ÁREA SUDOESTE,-10.224885,-48.350569
611 S,ÁREA SUDOESTE,-10.221922,-48.359983
AV 202 S,ÁREA SUDESTE,-10.199832,-48.331761
1406S,ÁREA SUDESTE,-10.270375,-48.320959
AV 304 S,ÁREA SUDESTE,-10.202639,-48.327347
AV 308 S,ÁREA SUDESTE,-10.205571,-48.3175
Jardim Aeroporto,REGIÃO SUL,-10.33806,-48.31994
Jardim Santa Helena,REGIÃO SUL,-10.340583,-48.311004
Jardim S�nia Regina,REGIÃO SUL,-10.353105,-48.303608
Jardim Irenilda,REGIÃO SUL,-10.346739,-48.305643
Jardim America II,REGIÃO SUL,-10.343732,-48.315869
Jardim America I,REGIÃO SUL,-10.344246,-48.321541
Residencial Myr�ades,Isolados Norte,-10.052624,-48.315541
Vila Bella,Isolados Norte,-10.067676,-48.337577
Caribe,Isolados Norte,-10.133501,-48.357507
Polin�sia,Isolados Norte,-10.140821,-48.357024
411 N,ÁREA NOROESTE,-10.156765,-48.356151
411 N,ÁREA NOROESTE,-10.156652,-48.352376
309 N,ÁREA NOROESTE,-10.166521,-48.356712
111 N,ÁREA NOROESTE,-10.178157,-48.359743
Orla 14 - Graciosa,ÁREA SUDOESTE,-10.192533,-48.362895
AV 1309 S,ÁREA SUDOESTE,-10.265017,-48.354772
AV 1407 S,ÁREA SUDOESTE,-10.270937,-48.349945
ALC SO 141,ÁREA SUDOESTE,-10.283004,-48.339922
ALC SE 141,ÁREA SUDESTE,-10.282898,-48.325909
AV 1412 S,ÁREA SUDESTE,-10.284345,-48.305153
Bertaville,REGIÃO SUL,-10.29161,-48.318359
Aeroporto,AEROPORTO,-10.306397,-48.348153
